Variable,Title1,Title2,Title3,Type,Not Experience,Weight,Flag
JOCCMAY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCNOVEM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCOCTOB,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCSEPTEM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCYRRND,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOILAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOTHERAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOWNLOT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JPAINTPEEL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JPARTNER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JPERMNEAR,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JPERPOVLVL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JPLUGS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JPORCH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JPOVLVLINC,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JPROTAXAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRATINGHS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRATINGNH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JREMODAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JREMODJOBS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRENT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRENTCNTRL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRENTSUB,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMCHANGE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMCOMMUTE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMCOSTS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMFAMILY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMHOME,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMHOOD,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMJOB,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMOTHER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRMOWNHH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JROACH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JRODENT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JROOFHOLE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JROOFSAG,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JROOFSHIN,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEARCHFAM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEARCHLIST,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEARCHNET,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEARCHOTH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEARCHPUB,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEARCHREA,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEARCHSIGN,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEARCHSTOP,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEWBREAK,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEWTYPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSEWUSERS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSTORIES,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSUBDIV,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JSUITYRRND,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JTENURE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JTIMESHARE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JTOTBALAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JTOTHCAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JTOTROOMS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JTRASHAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JUFINROOMS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JUNITFLOORS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JUNITSIZE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JUPKEEP,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JUTILAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACANCY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACINHER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACINVEST,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACMONTHS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACOTH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACPRIRES,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACREC,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACRESDAYS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACRNTDAYS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JVACSELL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWALLCRACK,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWALLSIDE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWALLSLOPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWASHER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWATERAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWATSOURCE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWINBARS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWINBOARD,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JWINBROKE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JYRBUILT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
RENT,Monthly rent amount,"Respondents are first asked FRENT (How many times a year is the rent on your unit due?), then RENT (How much is the rent?). The values shown in the microdata has been converted to the monthly amount.",See User Notes,,TRUE,FALSE,FALSE
BATHEXCLU,Flag indicating the unit's bathroom facilities are for the exclusive use of the household,This question is only asked when the respondent has earlier reported no bathrooms or half baths. Respondents are then asked a follow-up question if they have access to a bathroom outside of the unit within the building or outside of the building. AHS began imputing BATHEXCLU in 2017.,"Earlier you reported not having a bathroom in your unit, is your bathroom: Outside the apartment or unit, but inside the building? Or Outside the building?",Binary,TRUE,FALSE,FALSE
DISHWASH,Flag indicating unit has a working dishwasher,,Does your unit have a dishwasher in working order?,Binary,TRUE,FALSE,FALSE
GARAGE,Flag indicating unit has a garage or carport,,Is a garage or carport included with this unit?,Binary,TRUE,FALSE,FALSE
DINING,Number of dining rooms in unit,,How many separate dining rooms?,Continuous,TRUE,FALSE,FALSE
LAUNDY,Number of laundry or utility rooms in unit,,"How many laundry, utility, or pantry rooms?",Continuous,TRUE,FALSE,FALSE
STORIES,Number of stories in building,"STORIES is asked only when the housing unit is in a multiunit building. For single family units and manufactured/mobile homes, STORIES has the same value as UNITFLOORS.",How many stories are there in this building ?,Continuous,TRUE,FALSE,FALSE
NOSTEP,Flag indicating unit's entrance is accessible without climbing up or down any stairs,,Is it possible to enter this unit WITHOUT climbing up or down any steps or stairs? Please consider all entrances and any ramps that could be used.,Binary,TRUE,FALSE,FALSE
GUTREHB,Flag indicating unit has undergone a gut rehabilitation in the last 10 years,,"Gut rehabilitation is defined as the general replacement of the interior of a building including the HVAC, plumbing and electrical components. Has this housing unit undergone a gut rehabilitation in the last 10 years?",Binary,FALSE,FALSE,FALSE
CONDO,Flag indicating unit is a condominium,The coding for this variable changed in 2015. It is now simply a flag indicating if the unit is a condo. The variable COOP now captures the same information for cooperatives.,Is this unit part of a condominium?,Binary,TRUE,FALSE,FALSE
SEARCHFAM,"Flag indicating respondent, who moved in last two years, found home through family, friends, or other word of mouth",,"Did you find your home through family, friends, or other word of mouth?",Binary,TRUE,FALSE,FALSE
SEARCHLIST,"Flag indicating respondent, who moved in last two years, found home through apartment rental agency listing",,Did you find your home on an apartment rental agency listing?,Binary,TRUE,FALSE,FALSE
SEARCHNET,"Flag indicating respondent, who moved in last two years, found home through the Internet",,"Did you find your home on an internet site (such as Craig's List, apartment.com, realtor.com, or Zillow)?",Binary,TRUE,FALSE,FALSE
SEARCHOTH,"Flag indicating respondent, who moved in last two years, found home through some other way",,Did you find your home in some other way?,Binary,TRUE,FALSE,FALSE
SEARCHPUB,"Flag indicating respondent, who moved in last two years, found home through newspaper or publication",,Did you find your home in a newspaper or other publication?,Binary,TRUE,FALSE,FALSE
SEARCHREA,"Flag indicating respondent, who moved in last two years, found home through real estate agent",,Did you find your home from talking with a real estate agent?,Binary,TRUE,FALSE,FALSE
SEARCHSIGN,"Flag indicating respondent, who moved in last two years, found home through sign outside of building",,Did you find your home on a sign on outside of building/house?,Binary,TRUE,FALSE,FALSE
RMCHANGE,"Flag indicating respondent, who moved in last two years, moved because of change in household",,"Did you choose to move because of a change in household or family size, including marriage, divorce, separation, or child birth or adoption?",Binary,TRUE,FALSE,FALSE
RMCOMMUTE,"Flag indicating respondent, who moved in last two years, moved to reduce commute",,Did you choose to move to reduce commuting time?,Binary,TRUE,FALSE,FALSE
RMCOSTS,"Flag indicating respondent, who moved in last two years, moved to reduce housing costs",,Did you choose to move to reduce your housing costs?,Binary,TRUE,FALSE,FALSE
RMFAMILY,"Flag indicating respondent, who moved in last two years, moved for family",,"Did you choose to move to be closer to family, including for health reasons, economic reasons, or for any other reasons?",Binary,TRUE,FALSE,FALSE
RMHOME,"Flag indicating respondent, who moved in last two years, moved for better home",,Did you choose to move to upgrade to a larger home or a better quality home?,Binary,TRUE,FALSE,FALSE
RMHOOD,"Flag indicating respondent, who moved in last two years, moved to be in more desirable neighborhood",,Did you choose to move to be in a more desirable neighborhood?,Binary,TRUE,FALSE,FALSE
RMJOB,"Flag indicating respondent, who moved in last two years, moved for job",,Did you choose to move for a new job or job transfer?,Binary,TRUE,FALSE,FALSE
RMOWNHH,"Flag indicating respondent, who moved in last two years, moved to form household",,Did you choose to move to form your own household?,Binary,TRUE,FALSE,FALSE
RMOTHER,"Flag indicating respondent, who moved in last two years, moved for another reason",,Did you choose to move for some other reason?,Binary,TRUE,FALSE,FALSE
HMRACCESS,Flag indicating home improvements done to make home more accessible for elderly or disabled in last two years,,Did you do any of these home improvements to make your home more accessible for the elderly or disabled?,Binary,FALSE,FALSE,FALSE
HMRENEFF,Flag indicating home improvements done to make home more energy efficient in last two years,,Did you do any of these home improvements to improve energy efficiency?,Binary,FALSE,FALSE,FALSE
HMRSALE,Flag indicating home improvements done to get house ready for sale in last two years,,Did you do any of these home improvements to get your house ready for sale?,Binary,FALSE,FALSE,FALSE
RATINGHS,Rating of unit as a place to live,,"On a scale of 1 to 10, how would you rate your unit as a place to live?",Target,TRUE,FALSE,FALSE
RATINGNH,Rating of neighborhood as place to live,,How would you rate your neighborhood on a scale of 1-10?,Target,TRUE,FALSE,FALSE
NHQPCRIME,Agree or Disagree: This neighborhood has a lot of petty crime,"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",Do you agree or disagree with the following statement: This neighborhood has a lot of petty crime.,Binary,FALSE,FALSE,FALSE
NHQPUBTRN,"Agree or Disagree: This neighborhood has good bus, subway, or commuter train service","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.","Do you agree or disagree with the following statement: This neighborhood has good bus, subway, or commuter train service.",Binary,FALSE,FALSE,FALSE
NHQRISK,Agree or Disagree: This neighborhood is at high risk for floods or other disasters,"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",Do you agree or disagree with the following statement: This neighborhood is at high risk for floods or other disasters.,Binary,FALSE,FALSE,FALSE
NHQSCHOOL,Agree or Disagree: This neighborhood has good schools,"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",Do you agree or disagree with the following statement: This neighborhood has good schools.,Binary,FALSE,FALSE,FALSE
